customer_id,customer_name,gender,age,city,state,email,phone
1,Mason Borra,Female,39,Delhi,Uttar Pradesh,jagdish17@example.org,2891252261
2,Wyatt Grewal,Female,23,Patna,Uttar Pradesh,padmanabhanumang@example.org,6330438755
3,Zilmil Amble,Female,56,Bhopal,Madhya Pradesh,harshdasgupta@example.org,9807218412
4,Reva Korpal,Female,29,Noida,Uttar Pradesh,soniupasna@example.org,7398561380
5,Ojasvi Kunda,Female,34,Patna,Uttar Pradesh,charanmane@example.org,6987085235
6,Kavya Sheth,Male,19,Pune,Maharashtra,deolanita@example.net,5447806677
7,Avi Kurian,Male,19,Pune,Uttar Pradesh,arorakiaan@example.org,5516242232
8,Finn Contractor,Male,24,Delhi,Uttar Pradesh,dharchatresh@example.com,1111593230
9,Rudra Kalla,Female,55,Jaipur,Uttar Pradesh,venkataramansai@example.org,1379561913
10,Lucky Rama,Male,51,Jaipur,Uttar Pradesh,ekiya11@example.org,1627986298
11,Imaran Sankar,Male,31,Patna,Madhya Pradesh,mitterrajeshri@example.com,9233998988
12,Mugdha Ranganathan,Male,37,Hyderabad,Uttar Pradesh,amairaramakrishnan@example.org,8445334339
13,Wriddhish Ghosh,Male,30,Jaipur,Rajasthan,dpurohit@example.org,1297295472
14,Tarak Bose,Female,49,Mumbai,Rajasthan,dipta85@example.org,2083806671
15,Abhimanyu Pall,Male,24,Bhopal,Bihar,dmajumdar@example.net,7106944353
16,Nicholas Narang,Male,55,Noida,Madhya Pradesh,basaktriveni@example.com,2798850039
17,Ekantika Nori,Female,49,Delhi,Maharashtra,amrutakadakia@example.net,5548887297
18,David Yohannan,Female,29,Mumbai,Bihar,onigam@example.com,2642418756
19,Vrinda Radhakrishnan,Female,43,Patna,Rajasthan,rajeshri34@example.net,2939057865
20,Anay Chopra,Female,59,Lucknow,Telangana,qram@example.net,7318741994
21,Libni Sankar,Female,39,Kanpur,Madhya Pradesh,yraval@example.net,5762908211
22,Widisha Savant,Male,49,Pune,Uttar Pradesh,iryashenoy@example.net,5936429830
23,Max Dixit,Female,56,Delhi,Uttar Pradesh,nishashankar@example.com,4799229406
24,Unni Nair,Male,53,Mumbai,Maharashtra,frederick84@example.com,6703989559
25,Ranveer Sachdev,Male,31,Delhi,Madhya Pradesh,chaitanya57@example.net,0716538176
26,Zayyan Dixit,Female,58,Hyderabad,Rajasthan,oshakapoor@example.net,2687578769
27,Isaiah Palan,Male,48,Noida,Madhya Pradesh,gsabharwal@example.org,0880052167
28,Dalbir Keer,Female,34,Noida,Maharashtra,bbera@example.org,1582065391
29,Riya Mohan,Male,21,Hyderabad,Delhi,mastersamaksh@example.com,0957847801
30,Udarsh Muni,Male,50,Jaipur,Madhya Pradesh,aarna38@example.com,8386184026
31,Rachana Ganesan,Female,58,Hyderabad,Uttar Pradesh,madhavimannan@example.net,6321265448
32,Thomas Dass,Female,51,Lucknow,Delhi,damini89@example.net,1890438318
33,Hemani Bhavsar,Male,28,Bhopal,Delhi,loganvora@example.com,7740340345
34,Hiral Din,Male,28,Noida,Telangana,shivani04@example.org,3845146106
35,Dipta Patla,Female,26,Kanpur,Maharashtra,hloke@example.net,7261072995
36,Samarth Thakur,Female,23,Noida,Uttar Pradesh,kaidesai@example.org,8692391432
37,Girish Chanda,Male,25,Hyderabad,Maharashtra,farhan38@example.com,6864246225
38,Dayamai Manne,Male,60,Lucknow,Maharashtra,finnrandhawa@example.com,4128842074
39,Azaan Natt,Male,21,Kanpur,Maharashtra,siya97@example.com,0715027523
40,Upma Shroff,Female,42,Bhopal,Madhya Pradesh,aryaxalak@example.org,4069484273
41,Mahika Uppal,Male,39,Kanpur,Delhi,keerharsh@example.com,8632054656
42,Vrinda Naidu,Female,25,Noida,Uttar Pradesh,uprasad@example.net,4760709088
43,Girish Lal,Male,24,Patna,Uttar Pradesh,ansh97@example.com,6907864635
44,Dayamai Wason,Male,37,Kanpur,Madhya Pradesh,mitteramol@example.com,8741803624
45,Bhavika Rai,Male,36,Pune,Uttar Pradesh,dvarty@example.net,0258454148
46,Gabriel Vyas,Female,24,Hyderabad,Madhya Pradesh,snatt@example.org,1326894975
47,Falan Gopal,Female,37,Mumbai,Uttar Pradesh,frederick67@example.com,5718399680
48,Ekaraj Choudhry,Female,28,Delhi,Telangana,qbrahmbhatt@example.com,7264112044
49,Rachita Yohannan,Female,52,Noida,Uttar Pradesh,amahal@example.net,6580050288
50,Kritika Sunder,Male,33,Mumbai,Uttar Pradesh,max71@example.org,9562249914
51,Suhani Bera,Female,29,Jaipur,Maharashtra,rushildate@example.net,7851334572
52,Chavvi Narayan,Female,44,Pune,Rajasthan,balvanrajagopal@example.com,7458013376
53,Ekaja Anand,Male,32,Kanpur,Uttar Pradesh,yoshita69@example.org,9769645209
54,Xiti Thakur,Female,19,Noida,Delhi,tkurian@example.com,8557780755
55,Christopher Sani,Female,60,Lucknow,Uttar Pradesh,janyachhabra@example.com,8612542956
56,Ishani Gala,Female,40,Hyderabad,Bihar,ekanigoswami@example.org,0148965808
57,Chakrika Solanki,Female,31,Lucknow,Rajasthan,neelima80@example.net,4662407095
58,Vedhika Patel,Female,25,Jaipur,Maharashtra,henrypal@example.net,9842881157
59,Yachana Date,Male,26,Delhi,Delhi,vgaba@example.com,0781206442
